I,F,G,A,H,T,R
1,"[0.6490000486373901, [['1', 1.0]]]","[['Female', 0.0], ['Male', 1.0]]","[38L, 0.5]","[165.0, 0L]",450,1
2,"[0.7500000596046448, [['2', 1.0], ['1', 0.13100001215934753]]]","[['Female', 1.0], ['Male', 0.0]]","[26L, 1.0]","[179.65484714508057, 0.08]",450,1
3,"[0.5840000510215759, [['2', 0.15600000321865082], ['3', 0.1300000101327896], ['1', 0.0]]]","[['Female', 0.020000000000000018], ['Male', 0.98]]","[19L, 0.4000000059604645]","[189.46025371551514, 0.08]",450,1
4,"[0.6690000295639038, [['4', 1.0], ['2', 0.1810000091791153], ['1', 0.0], ['3', 0.0]]]","[['Female', 0.83], ['Male', 0.17000000000000004]]","[22L, 0.6660000085830688]","[189.05606269836426, 0.08]",450,1
4,"[0.7350000143051147, [['4', 1.0], ['2', 0.06599999964237213], ['1', 0.0], ['3', 0.0]]]","[['Female', 0.9], ['Male', 0.09999999999999998]]","[20L, 0.6660000085830688]","[165.0, 0L]",450,0
2,"[0.6290000081062317, [['2', 0.46400001645088196], ['1', 0.2120000123977661], ['3', 0.03200000151991844], ['4', 0.0]]]","[['Female', 0.96], ['Male', 0.040000000000000036]]","[27L, 1.0]","[189.8266315460205, 0.08]",450,0
4,"[1e-06, [['4', 0.25], ['2', 0.25], ['3', 0.25], ['1', 0.25]]]","[['Female', 0.5], ['Male', 0.5]]","[35L, 0L]","[165.0, 0L]",450,0
2,"[0.6670000553131104, [['2', 0.6780000329017639], ['1', 0.26600000262260437], ['3', 0.010000000707805157], ['4', 0.0]]]","[['Female', 0.10999999999999999], ['Male', 0.89]]","[28L, 0.6660000085830688]","[188.41552734375, 0.08]",450,0
4,"[0.76500004529953, [['4', 1.0], ['2', 0.1469999998807907], ['1', 0.0], ['3', 0.0]]]","[['Female', 0.89], ['Male', 0.10999999999999999]]","[23L, 1.0]","[165.0, 0L]",450,0
2,"[0.6880000233650208, [['2', 0.8460000157356262], ['1', 0.21400001645088196], ['4', 0.05100000277161598], ['3', 0.010000000707805157]]]","[['Female', 0.06000000000000005], ['Male', 0.94]]","[26L, 1.0]","[187.5649929046631, 0.08]",450,0
4,"[0.6780000329017639, [['4', 1.0], ['2', 0.10600000619888306], ['1', 0.0], ['3', 0.0]]]","[['Female', 0.91], ['Male', 0.08999999999999997]]","[19L, 0.5]","[165.0, 0L]",450,0
2,"[0.6390000581741333, [['1', 0.1680000126361847], ['2', 0.16300000250339508], ['4', 0.06400000303983688], ['3', 0.05900000408291817]]]","[['Female', 0.08999999999999997], ['Male', 0.91]]","[47L, 0.5]","[201.0314702987671, 0.08]",450,0
5,"[0.7270000576972961, [['5', 1.0], ['2', 0.2160000056028366], ['1', 0.06100000441074371], ['3', 0.04700000211596489], ['4', 0.010000000707805157]]]","[['Female', 0.49], ['Male', 0.51]]","[48L, 0.25]","[165.0, 0L]",450,1
2,"[0.6390000581741333, [['2', 0.1850000023841858], ['1', 0.11000000685453415], ['3', 0.09300000220537186], ['4', 0.020000001415610313], ['5', 0.0]]]","[['Female', 0.5], ['Male', 0.5]]","[0L, 0.0]","[189.25042152404785, 0.08]",450,0
2,"[0.6210000514984131, [['2', 0.7250000238418579], ['1', 0.24400001764297485], ['4', 0.10500000417232513], ['3', 0.09600000083446503], ['5', 0.07900000363588333]]]","[['Female', 0.050000000000000044], ['Male', 0.95]]","[29L, 1.0]","[190.0897979736328, 0.08]",450,0
4,"[0.7190000414848328, [['4', 1.0], ['2', 0.13300000131130219], ['1', 0.0], ['3', 0.0], ['5', 0.0]]]","[['Female', 0.91], ['Male', 0.08999999999999997]]","[19L, 0.6660000085830688]","[165.0, 0L]",450,0
6,"[0.8020000457763672, [['6', 1.0], ['3', 0.23800000548362732], ['1', 0.06200000271201134], ['2', 0.052000001072883606], ['4', 0.0], ['5', 0.0]]]","[['Female', 0.19999999999999996], ['Male', 0.8]]","[37L, 0.6660000085830688]","[188.34335803985596, 0.08]",450,1
